extensionName,Note Taker (Not Tutucu),Eklentinin adı
extensionDescription,Not tutmak için araç çubuğuna buton ekler,Eklentinin tanımı
general,Genel Notlar,genel notlar
domain,Site Notları,site notları için isim
url,URL Notları,URL notları için isim
default,Varsayılan,Varsayılan yazı tipi
enabled,Açık,enabled yazısı
disabled,Kapalı,disabled yazısı
yes,Evet,Yes yazısı
no,Hayır,hayır text
ok,TAMAM,OK text
cancel,İptal,Cancel text
close,Kapat,Close text
whitelist,Beyazliste,whitelist
blacklist,Karaliste,blacklist
optionTheme,Tema,tema seçenekleri
optionThemeLight,Açık,light theme
optionThemeDark,Koyu,dark theme
optionBGColorLight,Arkaplan Rengi (Açık),background color light option
optionBGColorDark,Arkaplan Rengi (Koyu),background color dark option
optionTextColorLight,Metin Rengi (Açık),font color light option
optionTextColorDark,Metin Rengi (Koyu),font color dark option
optionWidth,Metin Kutusu Genişliği,textbox width
optionHeight,Metin Kutusu Yüksekliği,textbox height
optionFont,Font,font
optionFontSerif,Serif,Serif font option
optionFontSansSerif,Sans Serif,Sans Serif font option
optionFontMonospace,Monospace,Monospace font option
optionFontCustom,Özel,Custom font option
optionCustomFontCSS,Özel Font CSS,custom for css option
optionFontSize,Font Boyutu,font size option
optionDefaultDisplay,Varsayılan Görünüm,default display option
optionPrivateBrowsing,Gizli Gezinti için Site Notları,Private Browsing option
optionSubdomainsMode,Alt Alandı Modu,subdomains mode option
optionSubdomainsWhitelist,Alt Alanadlarını Zorla,enforcing subdomains
optionSubdomainsBlacklist,Alt Alanadlarını Yoksay,ignoring subdomains
optionNotificationBadge,Bildirim İşareti,notification badge option
optionNotificationBadgeColor,Bildirim İşareti Rengi,notif badge color option
optionBulletMode,Maddeler,bullets option
optionBulletEnabledMode,Açık + Maddeler,enabled + bullets option
optionBGEnabledMode,Açık + Arkaplan,enabled + background option
optionBulletTypes,Madde Tipi,bullet types option
optionURLParams,Site Notları için URL Parametresi,URL Params option
optionTabs,Sekme Sayısı,tabs option
optionPadding,Dolgu (Padding),padding option
optionTextDirection,Yazı Yönü,direction option
optionLTR,Soldan Sağa,Left to right direction option
optionRTL,Sağdan Sola,Right to left direction option
optionPopupShortcut,Açılır Pencere Kısayolu,popup shortcut option
optionSidebarShortcut,Kenar Çubuğu Kısayolu,sidebar shortcut option
export,Notları ve Ayarları Dışa Aktar,export button
switchTheme,Açık temaya geç,theme switch button title text
switchThemeDark,Koyu temaya geç,theme switch button title text
openNewTab,Yeni Sekme Aç,Open in new title text
settings,Ayarlar,Settings button title text
deleteNote,Notu silmek istediğine emin misin:,Delete confirmation
tab,Sekme,Sekme yazısı (sekme sayısının yanında gözükür)
search,Ara,Search bar palceholder text
newNote,Yeni Not Adı:,New note prompt
